,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,6.885557627,0.119518251,0.884695888,0.135095294,0.892536531,0.999996842
A1BG.AS1,0.057418004,-0.019860929,0.688512424,-0.028846145,0.976987298,0.999996842
A1CF,3467.966967,-0.007642345,0.030240911,-0.252715433,0.800488121,0.999996842
A2M,70.68546134,0.036789634,0.053366202,0.689380784,0.490583672,0.930491028
A2M.AS1,0.079272209,-0.045224801,0.581845861,-0.07772643,0.93804567,0.999996842
A2ML1,529.7280513,0.015809692,0.080377184,0.196693772,0.844067184,0.999996842
A2ML1.AS1,17.93475762,-0.035621055,0.053307935,-0.668213005,0.503997635,0.940820704
A2ML1.AS2,0.195183334,0.03762184,0.295747715,0.127209232,0.898774799,0.999996842
A2MP1,0.573134928,-0.101552538,0.234179973,-0.433651678,0.664541402,0.999996842
A3GALT2,47.27426042,0.025449306,0.061444342,0.414184699,0.678738847,0.999996842
A4GALT,417.9199727,0.292279331,0.070238405,4.161246702,3.17E-05,0.001459727
A4GNT,45691.43087,0.0139121,0.041512449,0.335130793,0.737526425,0.999996842
AAAS,1813.432537,-0.000990158,0.02194537,-0.045119208,0.964012291,0.999996842
AACS,764.9163023,0.080148294,0.026375315,3.038761522,0.002375528,0.035352795
AACSP1,0.084704921,0.023405814,0.773049268,0.03027726,0.975845932,0.999996842
AADAC,3583.751187,0.204282089,0.051004571,4.00517223,6.20E-05,0.002464651
AADACL2,1839.681124,0.046374307,0.040500127,1.145041041,0.252192157,0.676706587
AADACL2.AS1,0.854440765,-0.052594013,0.124606746,-0.422079982,0.672966639,0.999996842
AADACL3,7.621952185,0.006251204,0.123410952,0.050653563,0.95960158,0.999996842
AADACL4,427.7155951,0.005736772,0.03445503,0.16650029,0.867763255,0.999996842
AADACP1,0.866247631,0.297546552,0.16800251,1.771083967,0.07654674,0.34470191
AADAT,5862.394085,-0.165608688,0.036725455,-4.509370593,6.50E-06,0.000475621
AAGAB,1514.455018,-0.12308595,0.096981476,-1.269169694,0.204380548,0.605178315
AAK1,2650.238368,0.011620071,0.022749972,0.510772977,0.609510033,0.999996842
AAMDC,964.3799985,0.121716491,0.055562033,2.190641439,0.02847775,0.187445901
AAMP,0.18327889,-0.003381739,0.500916502,-0.006751103,0.99461344,0.999996842
AANAT,265.4105995,0.008906003,0.054325581,0.16393755,0.869780307,0.999996842
AAR2,2512.274754,0.332187098,0.074250256,4.473884876,7.68E-06,0.000541363
AARD,1.025033919,-0.071322171,0.139419183,-0.511566412,0.608954498,0.999996842
AARS1,2164.986949,-0.044892807,0.035702194,-1.257424332,0.208600023,0.612333157
AARS1P1,8.587735508,-0.041892659,0.056078886,-0.747030877,0.455044923,0.90110603
AARS2,2032.89851,-0.018055644,0.037096642,-0.4867191,0.626457408,0.999996842
AARSD1,3.657727134,-0.204402037,0.086958839,-2.350560803,0.018745145,0.141807568
AASDH,4.988133819,0.103408068,0.25981307,0.398009491,NA,NA
AASDHPPT,784.0498707,-0.034057602,0.035813688,-0.950966056,0.341621607,0.791831862
AASS,435.4183071,-0.075003828,0.059825748,-1.253704814,0.209949317,0.61412503
AATBC,4.687599074,-0.078401658,0.082097594,-0.954981186,0.339587211,0.789773527
AATF,2.215530793,-0.359391195,0.112415678,-3.196984629,0.001388723,0.024346534
AATK,6.398663466,0.125338493,0.099071522,1.265131399,0.205824229,0.607773301
ABAT,406.4776012,-0.026104746,0.063733513,-0.409592141,0.682105163,0.999996842
ABCA1,1182.332781,0.134028767,0.034064616,3.93454512,8.34E-05,0.003083145
ABCA10,1309.810299,-0.036749751,0.042719328,-0.860260498,0.389645462,0.841491696
ABCA11P,16.53004273,0.007394048,0.101261621,0.073019249,0.9417908,0.999996842
ABCA12,650.2629962,0.054438925,0.029061976,1.873201054,0.061040627,0.299320835
ABCA13,392.9596998,0.193992471,0.11509862,1.685445673,0.091902618,0.384435175
ABCA17P,0.340282329,0.063066265,0.201111214,0.313589003,0.753833213,0.999996842
ABCA2,4874.0069,0.028767243,0.446582206,0.064416456,0.948638627,0.999996842
ABCA3,262.4805149,-0.133296288,0.095837505,-1.390857242,0.164268721,0.537134595
ABCA4,2149.672,0.035101325,0.021414521,1.639136612,0.101184812,0.408733583
ABCA5,2187.349044,0.027752797,0.020215921,1.372818819,0.169808679,0.547819472
ABCA6,73.39697754,-0.382749009,0.1406622,-2.721050918,0.006507474,0.069824514
ABCA7,1258.516,-0.007654432,0.047719184,-0.160405768,0.872561447,0.999996842
ABCA8,435.5726639,0.324283513,0.07392613,4.386588537,1.15E-05,0.000709902
ABCA9,294.631353,-0.19056334,0.072595335,-2.625008063,0.008664692,0.08423256
ABCA9.AS1,1.550522066,-0.236379759,0.133409259,-1.771839236,0.076421247,0.344358594
ABCB1,2032.613297,0.085208479,0.063438535,1.343165923,0.179218253,0.564577065
ABCB10,13.99197936,0.219079848,0.064726288,3.384712077,0.00071253,0.01514201
ABCB10P1,0.511350787,0.128913329,0.138527992,0.930594078,0.352063579,0.803619889
ABCB10P3,3.625693562,0.049389877,0.072190522,0.684160127,0.493874057,0.93343079
ABCB10P4,1.060025712,0.241812461,0.167786933,1.441187679,0.149531668,0.509039639
ABCB11,2199.949486,0.054545086,0.055442364,0.98381603,0.325205976,0.771533799
ABCB4,532.365199,0.073411216,0.062807975,1.168819971,0.242476172,0.663939231
ABCB5,29.4455409,0.258997664,0.265547219,0.97533563,0.329393802,0.776934655
ABCB6,2273.195537,-0.034674281,0.027953155,-1.240442483,0.214811776,0.622514305
ABCB7,1.920208816,0.077440518,0.086645696,0.893760705,0.371449938,0.824268176
ABCB8,2.228218119,0.02375587,0.104478793,0.227375048,0.820132121,0.999996842
ABCB9,1194.941112,0.042292219,0.062800419,0.673438483,0.500668373,0.938665932
ABCC1,6499.128275,0.021679857,0.043223378,0.501577115,0.615965021,0.999996842
ABCC10,55.47409262,0.099236596,0.255857671,0.387858594,NA,NA
ABCC11,1259.050133,-0.025113845,0.044769774,-0.560955377,0.574827958,0.99430162
ABCC12,2944.700796,0.023326786,0.019996978,1.166515564,0.243406059,0.664816706
ABCC13,1.695042571,0.119610581,0.086973226,1.375257489,0.169051631,0.546537215
ABCC2,745.303274,0.058823174,0.086988075,0.676221123,0.498900263,0.937110064
ABCC3,3718.445805,0.047790774,0.032599762,1.465985374,0.142652272,0.496449787
ABCC4,496.0974797,-0.000300348,0.046255363,-0.00649325,0.994819172,0.999996842
ABCC5,1545.206916,0.073398949,0.033225148,2.209138319,0.027165022,0.182494654
ABCC5.AS1,0.042893014,-0.055047152,1.343710033,-0.040966541,0.96732257,0.999996842
ABCC6,110.1843529,-0.041903695,0.109406291,-0.383009926,0.701712404,0.999996842
ABCC6P1,0.408502946,-0.026443442,0.146636734,-0.180332997,0.856891153,0.999996842
ABCC6P2,0.111060203,0.094933274,0.639402166,0.148471931,0.881970336,0.999996842
ABCC8,631.1803469,0.165863787,0.119681282,1.3858791,0.165783824,0.539967475
ABCC9,571.5105649,0.069841803,0.073829364,0.945989501,0.344153941,0.794577015
ABCD1,817.3380039,-0.138982623,0.09076604,-1.53121831,0.125715447,0.463680164
ABCD1P2,93.55380734,0.069218074,0.049427583,1.400393663,0.161395466,0.531843557
ABCD1P3,1.420811849,0.030047026,0.118783307,0.252956637,0.800301722,0.999996842
ABCD1P4,5.625201628,-0.027288168,0.363967292,-0.074974231,0.940235215,0.999996842
ABCD1P5,42.29748171,0.127938685,0.063744044,2.007068849,0.044742333,0.249984126
ABCD2,22.35959035,0.345994691,0.11353802,3.047390568,0.002308376,0.034814789
ABCD3,7306.48396,0.049560071,0.04263139,1.162525341,0.245022137,0.667781195
ABCD4,1072.027331,0.013145576,0.023829665,0.551647539,0.581189859,0.998340872
ABCE1,1.719273677,-0.077002044,0.117045321,-0.657882291,0.510613771,0.945987063
ABCF1,5075.115273,-0.020980777,0.045508568,-0.461029151,0.644777691,0.999996842
ABCF2,3476.783055,0.003980867,0.023452929,0.169738602,0.865215715,0.999996842
ABCF2P1,0.19897047,0.0164151,0.362676204,0.045261034,0.963899246,0.999996842
ABCF2P2,0.530922655,-0.056615178,0.126405466,-0.447885521,0.654235818,0.999996842
ABCF3,5053.256383,0.036758748,0.022126494,1.661300122,0.096653185,0.39703902
