,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,2.869816026,-0.067362418,1.039648045,-0.064793483,0.94833843,0.999991981
A1BG.AS1,0.051975941,0.018780334,0.853097521,0.022014287,0.982436559,0.999991981
A1CF,3328.56598,0.098355499,0.037123994,2.649378192,0.008064004,0.063355083
A2M,75.16523661,0.060835903,0.066733125,0.911629772,0.361963644,0.773653071
A2M.AS1,0.066032042,-0.02264958,0.803169543,-0.028200248,0.977502439,0.999991981
A2ML1,537.3000134,0.063451173,0.096976637,0.6542934,0.512922797,0.924952778
A2ML1.AS1,17.96209589,0.031463079,0.064774675,0.485731173,0.627157779,0.999991981
A2ML1.AS2,0.180017349,-0.050593989,0.378613792,-0.133629546,0.893695519,0.999991981
A2MP1,0.376232799,0.046453653,0.314959291,0.147490976,0.882744502,0.999991981
A3GALT2,44.21392168,-0.273985745,0.078667004,-3.482854701,0.000496098,0.008335315
A4GALT,357.1382782,-0.275987682,0.094097383,-2.9330006,0.003357032,0.03409398
A4GNT,41399.69879,0.017097478,0.04858064,0.351940149,0.724883148,0.999991981
AAAS,1727.123024,-0.048181689,0.027125977,-1.77621949,0.075696747,0.295620282
AACS,709.4471946,-0.043972988,0.032147112,-1.367867446,0.171353571,0.497606039
AACSP1,0.069457466,-0.074395267,0.880141868,-0.08452645,0.932637874,0.999991981
AADAC,3538.110218,-0.057757763,0.064931428,-0.889519371,0.373724017,0.789232676
AADACL2,1881.919671,-0.156589054,0.051583364,-3.035650266,0.002400176,0.026586703
AADACL2.AS1,0.886318747,0.07299389,0.158257045,0.461236277,0.644629097,0.999991981
AADACL3,7.605194588,0.507028451,0.156011386,3.249945167,0.001154273,0.015727869
AADACL4,409.8265538,-0.148376394,0.04261193,-3.482038771,0.000497612,0.008351086
AADACP1,0.696548941,-0.278929888,0.193301172,-1.442980837,0.14902587,0.456973242
AADAT,6375.089887,-0.133125668,0.047258538,-2.816965451,0.004847974,0.044341498
AAGAB,782.5983073,-0.166467053,0.116329082,-1.431001175,0.152429878,0.463352471
AAK1,2636.327684,0.07113099,0.029784287,2.388205209,0.016930885,0.105641067
AAMDC,876.6905662,-0.208290294,0.065630398,-3.17368629,0.001505163,0.01906704
AAMP,0.194919898,-0.058727797,0.691478258,-0.084930794,0.93231641,0.999991981
AANAT,238.6325039,-0.255166555,0.068327643,-3.734455693,0.000188122,0.004054661
AAR2,2599.931577,0.418567015,0.096711754,4.327984947,1.50E-05,0.000594564
AARD,0.949137447,0.045609647,0.187513708,0.243233667,0.807824387,0.999991981
AARS1,2142.176403,0.028839363,0.045135754,0.638947191,0.522857287,0.933715922
AARS1P1,8.07697257,-0.154978097,0.068021025,-2.278385216,0.022703636,0.130146175
AARS2,1787.339974,-0.085512019,0.044829222,-1.907506194,0.05645507,0.244045615
AARSD1,3.70498763,-0.212132633,0.104119297,-2.037399786,0.041609995,0.198070413
AASDH,1.993704518,-0.277959473,0.161571082,-1.720354095,0.085368096,0.319537654
AASDHPPT,794.9704472,-0.122725327,0.042556689,-2.883808174,0.00392898,0.038077598
AASS,416.2795641,-0.039851139,0.071349111,-0.558537281,0.576477555,0.975230066
AATBC,4.474319566,-0.172149021,0.107687422,-1.598599144,0.1099097,0.375837349
AATF,2.01909187,-0.001002204,0.140792822,-0.00711829,0.994320474,0.999991981
AATK,6.408056399,-0.296940158,0.126670969,-2.344184783,0.019068721,0.114898051
